	alamat	judul								1st glance	2nd glance
182	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=3	[POPULER NASIONAL] Update Penambahan Kasus Covid-19 | Tugas Wapres Selama Masa Pandemi								net	
183	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=3	UPDATE 2 Mei: Data Sebaran 10.843 Kasus Covid-19 di 34 Provinsi								net	
184	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=3	NA									
185	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=3	NA									
186	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=3	NA									
187	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=3	NA									
188	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=3	NA									
189	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=3	NA									
190	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=3	NA									
191	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=3	NA									
192	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=3	NA									
193	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=3	NA									
194	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=3	NA									
195	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=3	NA									
196	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=4	NA									
197	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=4	NA									
198	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=4	NA									
199	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=4	NA									
200	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=4	NA									
201	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=4	NA									
202	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=4	NA									
203	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=4	NA									
204	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=4	NA									
205	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=4	NA									
206	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=4	NA									
207	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=4	NA									
208	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=4	NA									
209	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=4	NA									
210	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=4	NA									
211	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=5	NA									
212	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=5	NA									
213	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=5	NA									
214	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=5	NA									
215	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=5	NA									
216	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=5	NA									
217	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=5	NA									
218	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=5	NA									
219	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=5	NA									
220	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=5	NA									
221	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=5	NA									
222	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=5	NA									
223	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=5	NA									
224	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=5	NA									
225	https://indeks.kompas.com/?site=nasional&date=2020-05-3&page=5	NA									
226	https://indeks.kompas.com/?site=nasional&date=2020-05-4&page=1	Datangkan 1.500 Cartridge, Pemerintah: Untuk Percepat Penentuan Status PDP Covid-19								pos	
227	https://indeks.kompas.com/?site=nasional&date=2020-05-4&page=1	KSAU Tekankan Transparansi Pengelolaan Anggaran Pertahanan Negara 								x	
228	https://indeks.kompas.com/?site=nasional&date=2020-05-4&page=1	Jokowi Ajak Negara GNB Kerja Sama Lawan Covid-19, dari soal Vaksin hingga Utang								pos	
229	https://indeks.kompas.com/?site=nasional&date=2020-05-4&page=1	Bareskrim Tetapkan 2 Tersangka Terkait Kasus KSP Indosurya Cipta								x	
230	https://indeks.kompas.com/?site=nasional&date=2020-05-4&page=1	Lindungi Lansia dari Covid-19, Ini Caranya...								net	
231	https://indeks.kompas.com/?site=nasional&date=2020-05-4&page=1	Angka Kejahatan Cenderung Turun, tetapi Tidak untuk Kejahatan Jalanan								x	
232	https://indeks.kompas.com/?site=nasional&date=2020-05-4&page=1	Relawan Sandiaga Gelar Rapid Test Khusus Pekerja Migran di Soetta								pos	
233	https://indeks.kompas.com/?site=nasional&date=2020-05-4&page=1	Pemerintah: Tak Ada Pilihan, Jangan Mudik Lebaran untuk Cegah Covid-19 								net	
234	https://indeks.kompas.com/?site=nasional&date=2020-05-4&page=1	Persaudaraan Istri Anggota DPR Bagikan 1.700 Paket Sembako, Puan: Ini Gotong Royong Sosial								x	
235	https://indeks.kompas.com/?site=nasional&date=2020-05-4&page=1	Waketum PAN: Jangan PHK Rakyat tetapi Masukkan 500 TKA dari China								x	
236	https://indeks.kompas.com/?site=nasional&date=2020-05-4&page=1	PKS: Rencana Relaksasi PSBB Tunjukkan Pemerintah Tak Punya Konsep Tangani Covid-19								neg	
237	https://indeks.kompas.com/?site=nasional&date=2020-05-4&page=1	Pemerintah: Hormati Tenaga Kesehatan, Jangan Didiskriminasi 								net	
238	https://indeks.kompas.com/?site=nasional&date=2020-05-4&page=1	MAKI Minta KPK Selidiki Dugaan Korupsi Kartu Prakerja								x	
239	https://indeks.kompas.com/?site=nasional&date=2020-05-4&page=1	Polisi Tangani 101 Kasus Dugaan Hoaks Terkait Corona								pos	
240	https://indeks.kompas.com/?site=nasional&date=2020-05-4&page=1	Puan Minta Pemerintah Pusat dan Daerah Aktif Berkoordinasi soal Bansos								x	
241	https://indeks.kompas.com/?site=nasional&date=2020-05-4&page=2	Dikritik Tajam oleh Najwa Shihab, Ini Pembelaan Anggota DPR Arsul Sani								x	
242	https://indeks.kompas.com/?site=nasional&date=2020-05-4&page=2	Disiplin Jadi Kunci Memutus Rantai Penularan Virus Corona								pos	
