	alamat	judul	
167	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=2	Mendagri Minta Kepala Daerah Miliki Narasi Sama soal Larangan Mudik	
168	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=2	UPDATE: Ada 100.564 Kasus Aktif Covid-19 di Indonesia	
169	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=2	2 dari 3 Kapal AL China yang Bakal Bantu Evakuasi KRI Nanggala Sudah Tiba di Bali	
170	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=2	UPDATE: 7,8 Juta Orang Sudah Terima Vaksin Covid-19 Dosis Kedua	
171	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=2	UPDATE 3 Mei: Kasus Suspek Covid-19 Tercatat 75.355 Orang	
172	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=2	UPDATE: Bertambah 153, Kasus Kematian akibat Covid-19 Kini 45.949	
173	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=2	 UPDATE  3 Mei: Tambah 4.773 Orang, Pasien Sembuh dari Covid-19 Capai 1.535.491	
174	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=2	Varian Mutasi Ganda B.1.617 Masuk RI, Epidemiolog: Kasus Covid-19 Bisa Naik jika Lalai	
175	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=2	UPDATE: Tambah 4.730, Kasus Covid-19 di Indonesia Mencapai 1.682.004	
176	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=2	Kemenkes: Klaster Tarawih, Bukber, Perkantoran, hingga Mudik Sumbang Kenaikan Kasus Covid-19	
177	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=2	Megawati Jadi Ketua Dewan Pengarah BRIN, Anggota Komisi VII: Tak Ada Dasar Hukum	
178	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=2	Penjelasan Kemenhub soal Bus Berstiker Khusus Saat Peniadaan Mudik, Bukan untuk Angkut Pemudik	
179	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=2	Rizieq Akui Ada Pelanggaran Protokol Kesehatan Saat Acara di Petamburan	
180	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=2	Menkes: Hingga Akhir April, Vaksinasi Covid-19 Tembus 20 Juta Suntikan	
181	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=3	Selama 2021, KY Pantau 79 Sidang, di Antaranya Kasus Rizieq Shihab	
182	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=3	Wapres: Keluarga Berperan Penting dalam Mendukung Ketahanan Pangan Nasional	
183	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=3	Jokowi Minta Peran TNI-Polri Dioptimalkan dalam Kawal Kepulangan Pekerja Migran	
184	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=3	Kasus Kerumunan Petamburan, Rizieq Mengaku Sempat Tanya Apakah Boleh Gelar Peringatan Maulid di Tengah Pandemi	
185	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=3	Kuartal Pertama 2021, Komisi Yudisial Terima 494 Laporan	
186	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=3	Kasus Korupsi Asabri, Kejagung Periksa 3 Saksi	
